GEOID,Total count,Optometry_count,Ophthalmology_count,Others_count,NAMESLAD,TotalPop,WhitePerc,Median_household_income,Mean_household_income,Bach_or_higher_perc,No_high_school_grad_perc,Percent_insured,index,TRACTCE,POPULATION_x,Clean Zip,Full Address,Optometry,Distances,BlackPerc,AsianPerc,Median Age,HispPerc,PercVisionDisab,DistancesLog,BelowPovertyPerc
17031030500,4,3,1,0,Census Tract 305,6183,63.67,101063,119636,66.1,6.3,93.3,1470,30500,2330,61443,109 N TREMONT ST  KEWANEE IL 61443,TRUE,13566.86,7.55,7.23,35.9,19.8,2.5,4.13248,6.7
17031030601,4,3,1,0,Census Tract 306.01,3293,48.19,46250,66938,47.6,14.2,95.1,2444,30601,3293,60660,6007 N SHERIDAN RD #33C CHICAGO IL 60660,TRUE,338.17,17.34,19.59,34.6,12.1,4.4,2.52914,14.4
17031030603,4,3,1,0,Census Tract 306.03,2045,46.94,45263,66379,47.4,7.8,85.5,2476,30603,2045,60640,5455 N SHERIDAN RD #3915 CHICAGO IL 60640,TRUE,525.22,20.83,16.09,33.2,17.5,4.4,2.72034,16.6
17031030604,4,3,1,0,Census Tract 306.04,3737,52.18,55093,78057,64.9,6.3,94.1,2477,30604,3737,60640,5455 N SHERIDAN RD #3915 CHICAGO IL 60640,TRUE,499.44,13.51,22.08,41.8,7.1,2.6,2.69848,18.7
17031030701,26,18,8,0,Census Tract 307.01,1671,49.07,40357,62582,46.2,6.8,90.6,2478,30701,1671,60640,5455 N SHERIDAN RD #3915 CHICAGO IL 60640,TRUE,266.66,26.87,7.84,36.3,8.4,3.2,2.42596,27.6
17031030702,22,15,7,0,Census Tract 307.02,2318,54.66,66016,95968,66.2,2.9,95.2,2479,30702,2318,60640,5455 N SHERIDAN RD #3915 CHICAGO IL 60640,TRUE,91.98,8.8,24.07,48.4,10.5,1.2,1.9637,13.7
17031030703,22,15,7,0,Census Tract 307.03,3075,56,51750,84259,57.6,9.5,95.5,2480,30703,3075,60640,5320 N SHERIDAN RD UNIT 1502 CHICAGO IL 60640,TRUE,126.73,19.25,11.97,42.8,20.8,4.6,2.10287,27.3
17031030706,26,18,8,0,Census Tract 307.06,2933,56.56,58639,95722,62.6,6.7,97.4,2481,30706,2933,60640,5320 N SHERIDAN RD UNIT 1502 CHICAGO IL 60640,TRUE,117.13,18.89,12.75,48.3,4.2,0.3,2.06868,4.1
17031030800,26,18,8,0,Census Tract 308,4284,73.53,87065,125596,76.5,4.1,95.8,1483,30800,3552,61443,109 N TREMONT ST  KEWANEE IL 61443,TRUE,1362.49,4.51,8.12,40.8,15.1,1,3.13433,11.8
17031030900,26,18,8,0,Census Tract 309,2952,68.9,93093,126408,71.2,7.2,92.6,1487,30900,3570,61443,109 N TREMONT ST  KEWANEE IL 61443,TRUE,697.52,3.39,8.94,37.2,10.6,0.5,2.84356,5.0
17031031000,22,15,7,0,Census Tract 310,3868,69.83,98929,114448,69.7,5.1,87.2,2482,31000,3868,60640,5003 N ASHLAND AVE APT 1W  CHICAGO IL 60640,TRUE,158.81,3.93,7.68,37,26.5,0.6,2.20088,10.1
17031031100,22,15,7,0,Census Tract 311,4691,64.17,77672,82890,68.3,3.1,95.1,2486,31100,4691,60640,5003 N ASHLAND AVE APT 1W  CHICAGO IL 60640,TRUE,422.55,6.08,12.9,38.7,9,0.8,2.62588,20.6
17031031200,22,15,7,0,Census Tract 312,5541,37.38,29214,49090,38.2,23.2,86.1,2490,31200,5541,60640,4840 N SHERIDAN RD APT 1  CHICAGO IL 60640,TRUE,276.9,28.89,18.53,39.5,21.8,2.8,2.44232,28.9
17031031300,22,15,7,0,Census Tract 313,6719,53.7,58828,71628,48.9,9.1,92.8,2494,31300,6719,60640,4840 N SHERIDAN RD APT 1  CHICAGO IL 60640,TRUE,350.01,18.38,16.28,48.2,10.7,5.1,2.54409,18.1
17031031400,35,26,9,0,Census Tract 314,5221,69.12,80580,103375,75,3.1,96.8,2495,31400,5221,60613,833 W BUENA AVE #2206 CHICAGO IL 60613,TRUE,247.1,8.48,10.53,37.2,10.3,1,2.39287,6.5
17031031501,22,15,7,0,Census Tract 315.01,4155,35.45,43416,52318,45.3,17.3,90.7,2497,31501,4155,60640,1000 W LELAND AVE APT 11D CHICAGO IL 60640,TRUE,209.24,34.2,17.3,35.7,16.5,1.6,2.32065,47.6
17031031502,35,26,9,0,Census Tract 315.02,4712,36.99,40074,53285,46.8,12.2,82.7,2498,31502,4712,60613,834 W MONTROSE AVE UNIT 401  CHICAGO IL 60613,TRUE,217,41,7.47,31.9,22.7,5.1,2.33645,33.3
17031031700,35,26,9,0,Census Tract 317,6294,59.77,74615,96284,72.1,4.7,94.2,2499,31700,6294,60640,1056 W WILSON AVE  CHICAGO IL 60640,TRUE,455.47,17.51,6.12,32.6,7.9,1.6,2.65846,13.7
17031031800,22,15,7,0,Census Tract 318,1910,67.07,76921,115960,72.7,1,93.6,2501,31800,1910,60640,4814 N CLARK ST UNIT B  CHICAGO IL 60640,TRUE,397.23,3.98,8.27,33.9,13.7,1.6,2.59904,13.5
17031031900,35,26,9,0,Census Tract 319,2522,71.09,87694,116927,76.3,2.8,95.9,2502,31900,2522,60613,4258 N GREENVIEW AVE APT 1A  CHICAGO IL 60613,TRUE,477.96,7.18,7.06,32.2,7.6,0.9,2.67939,5.6
17031032100,13,11,2,0,Census Tract 321,7543,59.39,68444,90991,56.8,11.6,88.7,2496,32100,7543,60613,833 W BUENA AVE #2206 CHICAGO IL 60613,TRUE,152.27,17.37,7.69,35.4,20.2,3.4,2.18261,19.6
17031040100,62,46,14,3,Census Tract 401,3905,66.09,90000,131058,62.4,7.9,93.6,2467,40100,3905,60640,5509 N PAULINA ST APT 1 CHICAGO IL 60640,TRUE,878.49,6.3,7.76,35.7,23,0.2,2.94374,7.9
17031040201,16,12,3,1,Census Tract 402.01,6408,67.09,91436,105243,65.6,4.4,94,2503,40201,6408,60625,2501 W LAWRENCE AVE  CHICAGO IL 60625,TRUE,535.24,3.25,9.53,35.3,21.7,0.4,2.72855,4.8
17031040202,36,28,6,3,Census Tract 402.02,7318,44.94,48262,71519,45.3,13.6,77.9,2512,40202,7318,60625,2623 W BERWYN AVE APT 1 CHICAGO IL 60625,TRUE,275.42,7.91,24.83,35.2,26.2,1.6,2.43999,20.2
17031040300,36,28,6,3,Census Tract 403,2928,56.66,94973,109838,62.8,8.2,90,2513,40300,2928,60625,2623 W BERWYN AVE APT 1 CHICAGO IL 60625,TRUE,485.57,3.65,21.89,42.3,11.2,0,2.68626,14.4
17031040401,16,12,3,1,Census Tract 404.01,3129,72.1,111389,162477,66.5,9.4,94.9,2522,40401,3129,60625,4740 N LINCOLN AVE  CHICAGO IL 60625,TRUE,548.8,2.33,5.78,36.1,21.9,0.7,2.73941,2.4
17031040402,38,27,10,1,Census Tract 404.02,4746,74.27,91016,111558,78.6,0.6,95.8,2527,40402,4746,60640,4807 N WOLCOTT AVE APT 1A CHICAGO IL 60640,TRUE,384.14,3.29,6.13,31.9,11.2,0,2.58449,4.9
17031040600,16,12,3,1,Census Tract 406,2530,78.26,83042,147682,75.5,3.9,91.6,2523,40600,2530,60625,4740 N LINCOLN AVE  CHICAGO IL 60625,TRUE,341.03,1.58,5.3,35.5,12.6,1.7,2.5328,6.6
17031040700,16,12,3,1,Census Tract 407,3426,71.83,103690,133863,75.7,3.4,95,2504,40700,3426,60625,2501 W LAWRENCE AVE  CHICAGO IL 60625,TRUE,230.12,3.62,7.12,37.7,9,1.1,2.36195,5.6
17031040800,31,27,3,1,Census Tract 408,1636,76.77,94943,135663,71.5,6.2,96.4,2508,40800,1636,60625,2501 W LAWRENCE AVE  CHICAGO IL 60625,TRUE,610.79,2.57,5.38,39.8,15.5,2.2,2.78589,4.1
17031040900,31,27,3,1,Census Tract 409,2063,75.08,76538,113950,80.2,1.3,88.7,2528,40900,2063,60625,4735 N DAMEN AVE  CHICAGO IL 60625,TRUE,632.48,2.38,6.5,38.5,6.1,1,2.80104,5.1
17031050100,28,26,2,0,Census Tract 501,2568,79.98,119622,166438,80.5,3.1,95.8,2533,50100,2568,60613,1926 W IRVING PARK ROAD  CHICAGO IL 60613,TRUE,392.24,1.99,4.6,33.4,5.9,0,2.59356,4.4
17031050200,15,15,0,0,Census Tract 502,5309,76.94,134773,225251,76.1,7,98.5,2537,50200,5309,60613,1926 W IRVING PARK ROAD  CHICAGO IL 60613,TRUE,618.93,1.47,6.37,41.1,14.4,1,2.79164,3.8
17031050300,15,15,0,0,Census Tract 503,2671,72.82,149034,190840,68.1,1.1,97.2,2541,50300,2671,60618,2510 W IRVING PARK RD UNIT 207 CHICAGO IL 60618,TRUE,399.24,1.46,7.34,39.4,15.6,2.3,2.60123,5.2
17031050500,15,15,0,0,Census Tract 505,5117,78.7,132500,221365,81.7,2,96.8,2547,50500,5117,60618,2108 W BRADLEY PL  CHICAGO IL 60618,TRUE,150.96,1.41,6.98,34.2,3.7,1.5,2.17887,2.0
17031050600,61,50,9,2,Census Tract 506,2443,80.72,105469,181022,86.9,0,99.5,2551,50600,2443,60618,2108 W BRADLEY PL  CHICAGO IL 60618,TRUE,394.2,1.8,5.85,33.8,4.1,0.8,2.59572,4.5
17031050700,61,50,9,2,Census Tract 507,1513,82.35,115787,180433,88.4,1,92.4,2555,50700,1513,60657,1909 W ROSCOE ST UNIT 3  CHICAGO IL 60657,TRUE,223.32,1.72,3.97,30.9,4.9,1,2.34892,9.9
17031050800,15,15,0,0,Census Tract 508,1406,77.95,150250,198523,69.7,3.3,100,2559,50800,1406,60618,2110 W ROSCOE ST  CHICAGO IL 60618,TRUE,198.99,1.07,6.83,31.5,20.1,0,2.29882,0.6
17031050900,15,15,0,0,Census Tract 509,1426,78.75,121071,179691,75.6,4,97.4,2571,50900,1426,60618,3557 N HAMILTON AVE UNIT #2 CHICAGO IL 60618,TRUE,335.51,1.61,5.4,34.9,17.7,0.4,2.5257,2.0
17031051000,15,15,0,0,Census Tract 510,1538,74.58,156898,187591,76.9,4.1,98.4,2563,51000,1538,60618,2110 W ROSCOE ST  CHICAGO IL 60618,TRUE,397.23,2.86,7.09,33.4,21.5,1.5,2.59905,3.4
17031051100,15,15,0,0,Census Tract 511,1599,79.05,161750,191555,81.2,1.5,97,2575,51100,1599,60618,3310 N DAMEN AVE # 3  CHICAGO IL 60618,TRUE,175.85,1,4.07,33.6,16.2,0.7,2.24513,5.2
17031051200,48,39,7,2,Census Tract 512,1581,79.51,154114,209484,86.3,1.5,96.8,2579,51200,1581,60657,3201 N WOLCOTT AVE 2B CHICAGO IL 60657,TRUE,177.18,1.58,3.54,31.8,6.6,1.7,2.24842,3.1
17031051300,84,68,14,2,Census Tract 513,2907,78.05,199977,240773,84.3,1.8,99.8,2581,51300,2907,60657,2854 N PAULINA ST  CHICAGO IL 60657,TRUE,422.9,2.44,6.26,35.3,15,0.5,2.62624,2.4
17031051400,34,32,2,0,Census Tract 514,2492,64.81,138250,199278,71,3.1,95.4,2580,51400,2492,60657,3201 N WOLCOTT AVE 2B CHICAGO IL 60657,TRUE,572.86,10.27,6.38,31,12.8,2.2,2.75805,9.6
17031060100,13,11,2,0,Census Tract 601,2830,78.59,105875,197459,84.5,3.4,96.4,2042,60100,4696,62420,PO BOX 528  CASEY IL 62420,TRUE,26209.19,3.18,4.52,32.9,7.7,0.6,4.41845,2.8
17031060200,13,11,2,0,Census Tract 602,2313,72.81,83854,158376,84.8,0,97.5,2056,60200,4312,61944,112 S MAIN ST # 95  PARIS IL 61944,TRUE,25833.15,3.76,5.53,33.5,13.3,1,4.41218,9.3
17031060300,13,11,2,0,Census Tract 603,3076,79.52,123750,180416,73.2,1.3,98.3,2046,60300,4850,62420,PO BOX 528  CASEY IL 62420,TRUE,3705.65,1.01,7.38,34,17.7,0.3,3.56886,3.4
17031060400,13,11,2,0,Census Tract 604,3709,81.23,146111,182267,86.7,0.8,98.4,2050,60400,1597,62420,PO BOX 528  CASEY IL 62420,TRUE,7845.07,1.4,6.79,32.1,10.4,0.3,3.8946,4.2
17031060500,13,11,2,0,Census Tract 605,1374,70.52,52652,154121,55,15.8,96.5,2583,60500,1374,60613,3708 N SOUTHPORT AVE  CHICAGO IL 60613,TRUE,422.67,4.44,9.75,38.6,10.2,3.8,2.626,24.2
17031060800,13,11,2,0,Census Tract 608,5295,67.1,77436,99250,74,0.7,96.1,2585,60800,5295,60613,4053 N SHERIDAN RD UNIT 5 CHICAGO IL 60613,TRUE,622.22,6.65,13.64,36.6,10.8,0,2.79394,7.7
17031060900,46,35,9,2,Census Tract 609,7104,70.37,80670,103291,84.8,2.2,94.3,2587,60900,7104,60613,638 W ADDISON ST APT 31 CHICAGO IL 60613,TRUE,194.39,7.87,9.08,36.7,10,0.2,2.28867,6.5
17031061000,13,11,2,0,Census Tract 610,2279,77.58,111728,126151,77.4,8.7,99.3,2589,61000,2279,60657,3547 N FREMONT ST #1N CHICAGO IL 60657,TRUE,330.03,4.61,4.65,30.3,12.9,1,2.51855,14.3
17031061100,13,11,2,0,Census Tract 611,1367,84.13,92750,127495,86.5,0.7,93.8,2590,61100,1367,60657,3547 N FREMONT ST #1N CHICAGO IL 60657,TRUE,530.54,1.98,3.51,27.3,10.2,2.7,2.72472,4.2
17031061200,13,11,2,0,Census Tract 612,1932,82.4,120865,220074,87.1,4.1,96.4,2584,61200,1932,60613,3708 N SOUTHPORT AVE  CHICAGO IL 60613,TRUE,218.86,2.85,4.97,28.1,14.1,0.7,2.34017,5.5
17031061500,46,35,9,2,Census Tract 615,1797,83.36,126750,175985,82.7,0.5,96.7,2592,61500,1797,60657,3539 N SOUTHPORT AVE  CHICAGO IL 60657,TRUE,203.01,1.56,5.62,30,6.3,1,2.30752,6.8
17031061800,46,35,9,2,Census Tract 618,1051,72.6,65238,68794,77,0.4,90.7,2588,61800,1051,60613,638 W ADDISON ST APT 31 CHICAGO IL 60613,TRUE,138.63,5.9,8.94,30.4,13.8,1.7,2.14185,13.3
17031061901,33,24,7,2,Census Tract 619.01,3625,72.83,54192,88531,72.8,1.8,97.9,2593,61901,3625,60657,450 W MELROSE ST UNIT 236 CHICAGO IL 60657,TRUE,220.07,5.6,9.79,35.2,11.4,1.2,2.34256,18.1
17031061902,33,24,7,2,Census Tract 619.02,4665,78.5,79254,128471,80.1,0.9,90.7,2594,61902,4665,60657,450 W MELROSE ST UNIT 236 CHICAGO IL 60657,TRUE,134.74,3.94,8.02,36,5.4,2.2,2.12949,9.0
17031062000,33,24,7,2,Census Tract 620,2843,77.88,98828,128059,88.8,0,98.2,2595,62000,2843,60657,662 W ROSCOE ST APT 2  CHICAGO IL 60657,TRUE,120.59,3.06,7.18,27.4,5.9,0,2.08132,5.7
17031062100,33,24,7,2,Census Tract 621,3817,77.94,96510,137661,83.7,3.3,94.2,2596,62100,3817,60657,662 W ROSCOE ST APT 2  CHICAGO IL 60657,TRUE,378.49,3.54,7.6,27.9,7,0.4,2.57805,10.1
17031062200,33,24,7,2,Census Tract 622,3244,83.32,165083,224220,89.8,2.8,96.4,2597,62200,3244,60657,3446 N SEMINARY AVE #2 CHICAGO IL 60657,TRUE,263.92,2.9,5.33,29.3,15.9,0,2.42148,8.3
17031062300,33,24,7,2,Census Tract 623,1667,81.64,181250,273110,91.7,0.6,98,2598,62300,1667,60657,3043 N LAKEWOOD AVE  CHICAGO IL 60657,TRUE,506.2,1.08,5.76,30.5,4.9,0,2.70432,5.1
17031062400,33,24,7,2,Census Tract 624,1673,82.01,141328,219368,83.9,3.3,98,2601,62400,1673,60657,3136 N LINCOLN AVE  CHICAGO IL 60657,TRUE,375.09,2.09,4.36,33.5,4.7,3,2.57414,6.7
17031062500,33,24,7,2,Census Tract 625,1675,77.67,157143,224378,86,1.9,97.5,2603,62500,1675,60657,1728 W ROSCOE ST APT 3E  CHICAGO IL 60657,TRUE,265.94,4.84,5.91,31.9,12.6,0.7,2.42479,14.5
17031062600,69,53,14,2,Census Tract 626,2477,75.45,187857,297862,88.7,2.5,96.8,2582,62600,2477,60657,2854 N PAULINA ST  CHICAGO IL 60657,TRUE,241.49,1.05,10.5,32.5,6.3,0,2.3829,3.1
17031062700,69,53,14,2,Census Tract 627,2955,80.71,139477,208487,86,3.1,97.4,2602,62700,2955,60657,3136 N LINCOLN AVE  CHICAGO IL 60657,TRUE,292.33,1.93,6.16,32.4,8.1,0.1,2.46588,4.8
17031062800,69,53,14,2,Census Tract 628,3851,82.89,154911,265437,87.8,0.8,96.7,2599,62800,3851,60657,3043 N LAKEWOOD AVE  CHICAGO IL 60657,TRUE,152.85,2.29,4.7,30.9,6.1,0.3,2.18426,4.1
17031062900,69,53,14,2,Census Tract 629,4125,83.64,146341,190019,84.5,0.2,97.4,2600,62900,4125,60657,3043 N LAKEWOOD AVE  CHICAGO IL 60657,TRUE,387.48,1.92,5.09,29.1,4.7,0.2,2.58824,5.5
17031063000,69,53,14,2,Census Tract 630,3417,77.47,99792,131271,88.2,2.1,97.4,2604,63000,3417,60657,2852 N HALSTED ST  CHICAGO IL 60657,TRUE,266.83,3.19,8.52,28.6,7,0.2,2.42623,7.0
17031063100,33,24,7,2,Census Tract 631,2376,79.25,96188,132529,90.5,0.8,96.1,2605,63100,2376,60657,721 W BRIAR PL APT 1F  CHICAGO IL 60657,TRUE,94.49,2.27,8.04,29.3,4.9,0.4,1.97538,8.8
17031063200,33,24,7,2,Census Tract 632,6900,76.12,68710,125962,87.2,1.9,98.6,2606,63200,6900,60657,3144 N BROADWAY ST  CHICAGO IL 60657,TRUE,316.38,3.7,9.71,33.5,6.4,1.9,2.50021,2.5
17031063301,69,53,14,2,Census Tract 633.01,2833,74.76,63889,87071,80.5,4.1,94.8,2607,63301,2833,60657,2915 N BROADWAY  CHICAGO IL 60657,TRUE,143.38,6.07,8.86,31.6,13.5,2.7,2.15647,18.1
17031063302,69,53,14,2,Census Tract 633.02,4577,74.77,84319,107055,89.8,0.5,92.1,2608,63302,4577,60657,2915 N BROADWAY  CHICAGO IL 60657,TRUE,326.81,3.71,10.73,30.5,10.4,0.8,2.5143,8.3
17031063303,69,53,14,2,Census Tract 633.03,1274,79.51,93625,141497,78.6,0,98.8,2609,63303,1274,60657,2800 N LAKE SHORE DR #3508 CHICAGO IL 60657,TRUE,221.66,1.57,11.22,66.7,2.4,2.5,2.34569,7.7
17031063400,69,53,14,2,Census Tract 634,2417,77.49,113512,154811,84.8,0,91,2614,63400,2417,60657,2906 N BROADWAY ST  CHICAGO IL 60657,TRUE,195.88,4.8,7.03,27.5,5.1,0.3,2.292,6.1
17031070101,36,29,7,0,Census Tract 701.01,4171,79.45,81708,140011,78.6,3.1,96.1,2615,70101,4171,60614,2555 N. CLARK ST.  CHICAGO IL 60614,TRUE,150.89,2.69,9.25,32.2,8,1,2.17865,12.4
17031070102,36,29,7,0,Census Tract 701.02,3063,76.95,87912,182930,91,0.8,96.1,2616,70102,3063,60614,2555 N. CLARK ST.  CHICAGO IL 60614,TRUE,101.56,3.56,9.04,31.1,13.5,1,2.0067,4.8
17031070103,36,29,7,0,Census Tract 701.03,1845,77.94,72625,77575,89.6,0,97.9,2617,70103,1845,60614,2531 N CLARK ST  CHICAGO IL 60614,TRUE,242.47,3.69,10.41,27.4,9.2,1.4,2.38466,14.9
17031070200,36,29,7,0,Census Tract 702,4200,78.67,103402,161410,82.6,2.3,97.8,2060,70200,1729,61944,112 S MAIN ST # 95  PARIS IL 61944,TRUE,20308.56,3.02,7.62,29.5,8.9,0.4,4.30768,7.3
